Company,Date,Close,lag_1,lag_2,lag_3,lag_5,lag_10,diff_1,diff_2,diff_3,return_1,return_2,return_3,log_return_1,log_return_2,sma_3,sma_5,sma_10,ema_3,ema_5,ema_10,volatility_3,volatility_5,volatility_10,momentum_3,roc_3,momentum_5,roc_5,momentum_10,roc_10,roll_min_3,roll_max_3,roll_min_5,roll_max_5,roll_min_10,roll_max_10,range_position_3,range_position_5,range_position_10,day_of_week,month,day,future_close,future_diff,target,target_class
BBPL,2020-04-23,16.55,,,,,,,,,,,,,,,,,16.55,16.55,16.55,,,,,,,,,,,,,,,,,,,3,4,23,16.13,-0.4200000000000017,DOWN,0.0
BBPL,2020-04-24,16.13,16.55,,,,,-0.4200000000000017,,,-0.025377643504531866,,,-0.02570520968595456,,,,,16.34,16.41,16.473636363636363,,,,,,,,,,,,,,,,,,,4,4,24,16.13,0.0,SAME,1.0
BBPL,2020-04-27,16.13,16.13,16.55,,,,0.0,-0.4200000000000017,,0.0,-0.025377643504531866,,0.0,-0.02570520968595456,16.27,,,16.235,16.316666666666666,16.411157024793386,,,,,,,,,,16.13,16.55,,,,,0.0,,,0,4,27,16.13,0.0,SAME,1.0
BBPL,2020-04-28,16.13,16.13,16.13,16.55,,,0.0,0.0,-0.4200000000000017,0.0,0.0,-0.025377643504531866,0.0,0.0,16.13,,,16.182499999999997,16.254444444444445,16.360037565740043,0.01465178930873983,,,-0.4200000000000017,-0.025377643504531824,,,,,16.13,16.13,,,,,,,,1,4,28,16.13,0.0,SAME,1.0
BBPL,2020-04-29,16.13,16.13,16.13,16.13,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.13,16.214,,16.15625,16.212962962962965,16.31821255378731,0.0,,,0.0,0.0,,,,,16.13,16.13,16.13,16.55,,,,0.0,,2,4,29,15.73,-0.3999999999999986,DOWN,0.0
BBPL,2020-04-30,15.73,16.13,16.13,16.13,16.55,,-0.3999999999999986,-0.3999999999999986,-0.3999999999999986,-0.024798512089274527,-0.024798512089274527,-0.024798512089274527,-0.02511117506693092,-0.02511117506693092,15.996666666666668,16.05,,15.943125,16.05197530864198,16.21126481673507,0.014317427630244838,0.013742831528202527,,-0.3999999999999986,-0.024798512089274558,-0.8200000000000003,-0.049546827794561946,,,15.73,16.13,15.73,16.13,,,0.0,0.0,,3,4,30,15.73,0.0,SAME,1.0
BBPL,2020-05-01,15.73,15.73,16.13,16.13,16.13,,0.0,-0.3999999999999986,-0.3999999999999986,0.0,-0.024798512089274527,-0.024798512089274527,0.0,-0.02511117506693092,15.863333333333335,15.970000000000002,,15.8365625,15.94465020576132,16.12376212278324,0.014317427630244838,0.011090231754493635,,-0.3999999999999986,-0.024798512089274558,-0.3999999999999986,-0.024798512089274558,,,15.73,16.13,15.73,16.13,,,0.0,0.0,,4,5,1,15.73,0.0,SAME,1.0
BBPL,2020-05-04,15.73,15.73,15.73,16.13,16.13,,0.0,0.0,-0.3999999999999986,0.0,0.0,-0.024798512089274527,0.0,0.0,15.73,15.889999999999997,,15.78328125,15.873100137174216,16.052169009549925,0.014317427630244838,0.011090231754493635,,-0.3999999999999986,-0.024798512089274558,-0.3999999999999986,-0.024798512089274558,,,15.73,15.73,15.73,16.13,,,,0.0,,0,5,4,15.73,0.0,SAME,1.0
BBPL,2020-05-05,15.73,15.73,15.73,15.73,16.13,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.73,15.809999999999999,,15.756640625,15.825400091449477,15.993592825995393,0.0,0.011090231754493635,,0.0,0.0,-0.3999999999999986,-0.024798512089274558,,,15.73,15.73,15.73,16.13,,,,0.0,,1,5,5,15.73,0.0,SAME,1.0
BBPL,2020-05-06,15.73,15.73,15.73,15.73,16.13,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.73,15.73,15.972,15.7433203125,15.79360006096632,15.945666857632592,0.0,0.011090231754493635,,0.0,0.0,-0.3999999999999986,-0.024798512089274558,,,15.73,15.73,15.73,15.73,15.73,16.55,,,0.0,2,5,6,15.73,0.0,SAME,1.0
BBPL,2020-05-07,15.73,15.73,15.73,15.73,15.73,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.73,15.73,15.889999999999997,15.73666015625,15.772400040644214,15.906454701699392,0.0,0.0,0.010578943092911904,0.0,0.0,0.0,0.0,-0.8200000000000003,-0.049546827794561946,15.73,15.73,15.73,15.73,15.73,16.13,,,0.0,3,5,7,15.73,0.0,SAME,1.0
BBPL,2020-05-08,15.73,15.73,15.73,15.73,15.73,16.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.73,15.73,15.85,15.733330078125,15.75826669376281,15.874372028663139,0.0,0.0,0.00784197807853283,0.0,0.0,0.0,0.0,-0.3999999999999986,-0.024798512089274558,15.73,15.73,15.73,15.73,15.73,16.13,,,0.0,4,5,8,15.73,0.0,SAME,1.0
BBPL,2020-05-11,15.73,15.73,15.73,15.73,15.73,16.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.73,15.73,15.809999999999999,15.7316650390625,15.74884446250854,15.848122568906202,0.0,0.0,0.00784197807853283,0.0,0.0,0.0,0.0,-0.3999999999999986,-0.024798512089274558,15.73,15.73,15.73,15.73,15.73,16.13,,,0.0,0,5,11,15.73,0.0,SAME,1.0
BBPL,2020-05-12,15.73,15.73,15.73,15.73,15.73,16.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.73,15.73,15.77,15.730832519531251,15.742562975005693,15.826645738195982,0.0,0.0,0.00784197807853283,0.0,0.0,0.0,0.0,-0.3999999999999986,-0.024798512089274558,15.73,15.73,15.73,15.73,15.73,16.13,,,0.0,1,5,12,15.73,0.0,SAME,1.0
BBPL,2020-05-13,15.73,15.73,15.73,15.73,15.73,16.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.73,15.73,15.73,15.730416259765626,15.738375316670464,15.809073785796713,0.0,0.0,0.00784197807853283,0.0,0.0,0.0,0.0,-0.3999999999999986,-0.024798512089274558,15.73,15.73,15.73,15.73,15.73,15.73,,,,2,5,13,15.33,-0.40000000000000036,DOWN,0.0
BBPL,2020-05-14,15.33,15.73,15.73,15.73,15.73,15.73,-0.40000000000000036,-0.40000000000000036,-0.40000000000000036,-0.025429116338207214,-0.025429116338207214,-0.025429116338207214,-0.025758024186463665,-0.025758024186463665,15.596666666666666,15.65,15.689999999999998,15.530208129882812,15.602250211113644,15.7219694611064,0.014681507163118246,0.011372246547996373,0.008041392651413539,-0.40000000000000036,-0.02542911633820727,-0.40000000000000036,-0.02542911633820727,-0.40000000000000036,-0.02542911633820727,15.33,15.73,15.33,15.73,15.33,15.73,0.0,0.0,0.0,3,5,14,14.95,-0.3800000000000008,DOWN,0.0
BBPL,2020-05-15,14.95,15.33,15.73,15.73,15.73,15.73,-0.3800000000000008,-0.7800000000000011,-0.7800000000000011,-0.024787997390737115,-0.04958677685950419,-0.04958677685950419,-0.02510039304702732,-0.050858417233491084,15.336666666666666,15.494,15.612,15.240104064941406,15.384833474075762,15.581611377268873,0.014499975895899922,0.013754390845582014,0.010587775557262535,-0.7800000000000011,-0.0495867768595042,-0.7800000000000011,-0.0495867768595042,-0.7800000000000011,-0.0495867768595042,14.95,15.73,14.95,15.73,14.95,15.73,0.0,0.0,0.0,4,5,15,14.58,-0.3699999999999992,DOWN,0.0
BBPL,2020-05-18,14.58,14.95,15.33,15.73,15.73,15.73,-0.3699999999999992,-0.75,-1.1500000000000004,-0.02474916387959858,-0.048923679060665415,-0.07310870947234582,-0.025060573256183258,-0.05016096630321072,14.953333333333333,15.264,15.497,14.910052032470702,15.116555649383843,15.39950021776544,0.000381854442678687,0.013689570203518716,0.01207205960185374,-1.1500000000000004,-0.07310870947234585,-1.1500000000000004,-0.07310870947234585,-1.1500000000000004,-0.07310870947234585,14.58,15.33,14.58,15.73,14.58,15.73,0.0,0.0,0.0,0,5,18,14.21,-0.3699999999999992,DOWN,0.0
BBPL,2020-05-19,14.21,14.58,14.95,15.33,15.73,15.73,-0.3699999999999992,-0.7399999999999984,-1.1199999999999992,-0.02537722908093276,-0.04949832775919727,-0.0730593607305936,-0.025704784471502796,-0.0507653577276861,14.58,14.959999999999999,15.344999999999999,14.560026016235351,14.814370432922562,15.183227450898995,0.0003519393705941824,0.011223254585930768,0.012956026943629784,-1.1199999999999992,-0.07305936073059356,-1.5199999999999996,-0.09663064208518751,-1.5199999999999996,-0.09663064208518751,14.21,14.95,14.21,15.73,14.21,15.73,0.0,0.0,0.0,1,5,19,13.52,-0.6900000000000013,DOWN,0.0
BBPL,2020-05-20,13.52,14.21,14.58,14.95,15.73,15.73,-0.6900000000000013,-1.0600000000000005,-1.4299999999999997,-0.0485573539760733,-0.07270233196159126,-0.09565217391304348,-0.04977587149419136,-0.0754806559656941,14.103333333333333,14.518,15.124,14.040013008117675,14.382913621948376,14.880822459826451,0.013567992799976707,0.010501583270155867,0.01718616897202254,-1.4299999999999997,-0.09565217391304347,-2.210000000000001,-0.1404958677685951,-2.210000000000001,-0.1404958677685951,13.52,14.58,13.52,15.33,13.52,15.73,0.0,0.0,0.0,2,5,20,13.85,0.33000000000000007,UP,2.0
BBPL,2020-05-21,13.85,13.52,14.21,14.58,15.33,15.73,0.33000000000000007,-0.3600000000000012,-0.7300000000000004,0.02440828402366857,-0.025334271639690487,-0.05006858710562412,0.024115162018529406,-0.025660709475661896,13.86,14.222,14.936000000000002,13.945006504058838,14.205275747965583,14.69340019440346,0.037282479875387665,0.02674806910731514,0.02087356230896166,-0.7300000000000004,-0.050068587105624174,-1.4800000000000004,-0.096542726679713,-1.8800000000000008,-0.11951684678957411,13.52,14.21,13.52,14.95,13.52,15.73,0.47826086956521663,0.23076923076923087,0.14932126696832576,3,5,21,13.85,0.0,SAME,1.0
BBPL,2020-05-22,13.85,13.85,13.52,14.21,14.95,15.73,0.0,0.33000000000000007,-0.3600000000000012,0.0,0.02440828402366857,-0.025334271639690487,0.0,0.024115162018529406,13.74,14.002,14.748,13.89750325202942,14.086850498643724,14.54005470451192,0.037142889141905146,0.027869055171089556,0.02087356230896166,-0.3600000000000012,-0.02533427163969044,-1.0999999999999996,-0.07357859531772573,-1.8800000000000008,-0.11951684678957411,13.52,13.85,13.52,14.58,13.52,15.73,1.0,0.31132075471698106,0.14932126696832576,4,5,22,13.85,0.0,SAME,1.0
BBPL,2020-05-25,13.85,13.85,13.85,13.52,14.58,15.73,0.0,0.0,0.33000000000000007,0.0,0.0,0.02440828402366857,0.0,0.0,13.85,13.856,14.559999999999999,13.873751626014709,14.007900332429148,14.414590212782478,0.014092129351521883,0.027870297140396537,0.02087356230896166,0.33000000000000007,0.024408284023668646,-0.7300000000000004,-0.050068587105624174,-1.8800000000000008,-0.11951684678957411,13.85,13.85,13.52,14.21,13.52,15.73,,0.47826086956521663,0.14932126696832576,0,5,25,13.85,0.0,SAME,1.0
BBPL,2020-05-26,13.85,13.85,13.85,13.85,14.21,15.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.85,13.783999999999997,14.372000000000003,13.861875813007355,13.9552668882861,14.311937446822027,0.0,0.026631491876275577,0.02087356230896166,0.0,0.0,-0.3600000000000012,-0.02533427163969044,-1.8800000000000008,-0.11951684678957411,13.85,13.85,13.52,13.85,13.52,15.73,,1.0,0.14932126696832576,1,5,26,13.85,0.0,SAME,1.0
BBPL,2020-05-27,13.85,13.85,13.85,13.85,13.52,15.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.85,13.85,14.184000000000001,13.855937906503677,13.920177925524069,14.22794882012711,0.0,0.010915716458208989,0.02087356230896166,0.0,0.0,0.33000000000000007,0.024408284023668646,-1.8800000000000008,-0.11951684678957411,13.85,13.85,13.85,13.85,13.52,15.33,,,0.18232044198895025,2,5,27,13.85,0.0,SAME,1.0
BBPL,2020-05-28,13.85,13.85,13.85,13.85,13.85,15.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.85,13.85,14.035999999999998,13.852968953251839,13.896785283682714,14.159230852831271,0.0,0.0,0.02066449913529258,0.0,0.0,0.0,0.0,-1.4800000000000004,-0.096542726679713,13.85,13.85,13.85,13.85,13.52,14.95,,,0.23076923076923087,3,5,28,13.85,0.0,SAME,1.0
BBPL,2020-05-29,13.85,13.85,13.85,13.85,13.85,14.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.85,13.85,13.925999999999998,13.85148447662592,13.88119018912181,14.103007061407402,0.0,0.0,0.020161628526623506,0.0,0.0,0.0,0.0,-1.0999999999999996,-0.07357859531772573,13.85,13.85,13.85,13.85,13.52,14.58,,,0.31132075471698106,4,5,29,13.85,0.0,SAME,1.0
BBPL,2020-06-01,13.85,13.85,13.85,13.85,13.85,14.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.85,13.85,13.853,13.85074223831296,13.87079345941454,14.057005777515146,0.0,0.0,0.019299681288013078,0.0,0.0,0.0,0.0,-0.7300000000000004,-0.050068587105624174,13.85,13.85,13.85,13.85,13.52,14.21,,,0.47826086956521663,0,6,1,13.85,0.0,SAME,1.0
