Company,Date,Close,lag_1,lag_2,lag_3,lag_5,lag_10,diff_1,diff_2,diff_3,return_1,return_2,return_3,log_return_1,log_return_2,sma_3,sma_5,sma_10,ema_3,ema_5,ema_10,volatility_3,volatility_5,volatility_10,momentum_3,roc_3,momentum_5,roc_5,momentum_10,roc_10,roll_min_3,roll_max_3,roll_min_5,roll_max_5,roll_min_10,roll_max_10,range_position_3,range_position_5,range_position_10,day_of_week,month,day,future_close,future_diff,target,target_class
BCCL,2020-04-23,58.19,,,,,,,,,,,,,,,,,58.19,58.19,58.19,,,,,,,,,,,,,,,,,,,3,4,23,58.19,0.0,SAME,1.0
BCCL,2020-04-24,58.19,58.19,,,,,0.0,,,0.0,,,0.0,,,,,58.19,58.19,58.19,,,,,,,,,,,,,,,,,,,4,4,24,58.19,0.0,SAME,1.0
BCCL,2020-04-27,58.19,58.19,58.19,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,58.19,,,58.19,58.19,58.19,,,,,,,,,,58.19,58.19,,,,,,,,0,4,27,58.19,0.0,SAME,1.0
BCCL,2020-04-28,58.19,58.19,58.19,58.19,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,,,58.19,58.19,58.19,0.0,,,0.0,0.0,,,,,58.19,58.19,,,,,,,,1,4,28,58.19,0.0,SAME,1.0
BCCL,2020-04-29,58.19,58.19,58.19,58.19,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,,58.19,58.19,58.19,0.0,,,0.0,0.0,,,,,58.19,58.19,58.19,58.19,,,,,,2,4,29,58.19,0.0,SAME,1.0
BCCL,2020-04-30,58.19,58.19,58.19,58.19,58.19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,,58.19,58.19,58.19,0.0,0.0,,0.0,0.0,0.0,0.0,,,58.19,58.19,58.19,58.19,,,,,,3,4,30,58.19,0.0,SAME,1.0
BCCL,2020-05-01,58.19,58.19,58.19,58.19,58.19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,,58.19,58.19,58.19,0.0,0.0,,0.0,0.0,0.0,0.0,,,58.19,58.19,58.19,58.19,,,,,,4,5,1,58.19,0.0,SAME,1.0
BCCL,2020-05-04,58.19,58.19,58.19,58.19,58.19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,,58.19,58.19,58.19,0.0,0.0,,0.0,0.0,0.0,0.0,,,58.19,58.19,58.19,58.19,,,,,,0,5,4,58.19,0.0,SAME,1.0
BCCL,2020-05-05,58.19,58.19,58.19,58.19,58.19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,,58.19,58.19,58.19,0.0,0.0,,0.0,0.0,0.0,0.0,,,58.19,58.19,58.19,58.19,,,,,,1,5,5,58.19,0.0,SAME,1.0
BCCL,2020-05-06,58.19,58.19,58.19,58.19,58.19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,,0.0,0.0,0.0,0.0,,,58.19,58.19,58.19,58.19,58.19,58.19,,,,2,5,6,58.19,0.0,SAME,1.0
BCCL,2020-05-07,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,3,5,7,58.19,0.0,SAME,1.0
BCCL,2020-05-08,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,4,5,8,58.19,0.0,SAME,1.0
BCCL,2020-05-11,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,0,5,11,58.19,0.0,SAME,1.0
BCCL,2020-05-12,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,1,5,12,58.19,0.0,SAME,1.0
BCCL,2020-05-13,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,2,5,13,58.19,0.0,SAME,1.0
BCCL,2020-05-14,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,3,5,14,58.19,0.0,SAME,1.0
BCCL,2020-05-15,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,4,5,15,58.19,0.0,SAME,1.0
BCCL,2020-05-18,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,0,5,18,58.19,0.0,SAME,1.0
BCCL,2020-05-19,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,1,5,19,58.19,0.0,SAME,1.0
BCCL,2020-05-20,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,2,5,20,58.19,0.0,SAME,1.0
BCCL,2020-05-21,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,3,5,21,58.19,0.0,SAME,1.0
BCCL,2020-05-22,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,4,5,22,58.19,0.0,SAME,1.0
BCCL,2020-05-25,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,0,5,25,58.19,0.0,SAME,1.0
BCCL,2020-05-26,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,1,5,26,58.19,0.0,SAME,1.0
BCCL,2020-05-27,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,2,5,27,58.19,0.0,SAME,1.0
BCCL,2020-05-28,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,3,5,28,58.19,0.0,SAME,1.0
BCCL,2020-05-29,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,4,5,29,58.19,0.0,SAME,1.0
BCCL,2020-06-01,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,0,6,1,58.19,0.0,SAME,1.0
BCCL,2020-06-02,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,1,6,2,58.19,0.0,SAME,1.0
BCCL,2020-06-03,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,2,6,3,58.19,0.0,SAME,1.0
BCCL,2020-06-04,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,3,6,4,58.19,0.0,SAME,1.0
BCCL,2020-06-08,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,0,6,8,58.19,0.0,SAME,1.0
BCCL,2020-06-09,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,1,6,9,58.19,0.0,SAME,1.0
BCCL,2020-06-10,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,2,6,10,58.19,0.0,SAME,1.0
BCCL,2020-06-11,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,3,6,11,58.19,0.0,SAME,1.0
BCCL,2020-06-12,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,4,6,12,58.19,0.0,SAME,1.0
BCCL,2020-06-15,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,0,6,15,58.19,0.0,SAME,1.0
BCCL,2020-06-16,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,1,6,16,58.19,0.0,SAME,1.0
BCCL,2020-06-17,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,2,6,17,58.19,0.0,SAME,1.0
BCCL,2020-06-18,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,3,6,18,58.19,0.0,SAME,1.0
BCCL,2020-06-19,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,4,6,19,58.19,0.0,SAME,1.0
BCCL,2020-06-22,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,0,6,22,58.19,0.0,SAME,1.0
BCCL,2020-06-23,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,1,6,23,58.19,0.0,SAME,1.0
BCCL,2020-06-24,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,2,6,24,58.19,0.0,SAME,1.0
BCCL,2020-06-25,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19,58.19,58.19,58.19,58.19,58.19,,,,3,6,25,58.19,0.0,SAME,1.0
