Company,Date,Close,lag_1,lag_2,lag_3,lag_5,lag_10,diff_1,diff_2,diff_3,return_1,return_2,return_3,log_return_1,log_return_2,sma_3,sma_5,sma_10,ema_3,ema_5,ema_10,volatility_3,volatility_5,volatility_10,momentum_3,roc_3,momentum_5,roc_5,momentum_10,roc_10,roll_min_3,roll_max_3,roll_min_5,roll_max_5,roll_min_10,roll_max_10,range_position_3,range_position_5,range_position_10,day_of_week,month,day,future_close,future_diff,target,target_class
BPCL,2020-04-23,30.9,,,,,,,,,,,,,,,,,30.9,30.9,30.9,,,,,,,,,,,,,,,,,,,3,4,23,30.9,0.0,SAME,1.0
BPCL,2020-04-24,30.9,30.9,,,,,0.0,,,0.0,,,0.0,,,,,30.9,30.9,30.9,,,,,,,,,,,,,,,,,,,4,4,24,30.9,0.0,SAME,1.0
BPCL,2020-04-27,30.9,30.9,30.9,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,30.9,,,30.9,30.9,30.9,,,,,,,,,,30.9,30.9,,,,,,,,0,4,27,30.9,0.0,SAME,1.0
BPCL,2020-04-28,30.9,30.9,30.9,30.9,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.9,,,30.9,30.9,30.9,0.0,,,0.0,0.0,,,,,30.9,30.9,,,,,,,,1,4,28,30.9,0.0,SAME,1.0
BPCL,2020-04-29,30.9,30.9,30.9,30.9,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.9,30.9,,30.9,30.9,30.9,0.0,,,0.0,0.0,,,,,30.9,30.9,30.9,30.9,,,,,,2,4,29,30.9,0.0,SAME,1.0
BPCL,2020-04-30,30.9,30.9,30.9,30.9,30.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.9,30.9,,30.9,30.9,30.9,0.0,0.0,,0.0,0.0,0.0,0.0,,,30.9,30.9,30.9,30.9,,,,,,3,4,30,30.9,0.0,SAME,1.0
BPCL,2020-05-01,30.9,30.9,30.9,30.9,30.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.9,30.9,,30.9,30.9,30.9,0.0,0.0,,0.0,0.0,0.0,0.0,,,30.9,30.9,30.9,30.9,,,,,,4,5,1,31.67,0.7700000000000031,UP,2.0
BPCL,2020-05-04,31.67,30.9,30.9,30.9,30.9,,0.7700000000000031,0.7700000000000031,0.7700000000000031,0.02491909385113278,0.02491909385113278,0.02491909385113278,0.02461367664684874,0.02461367664684874,31.156666666666666,31.053999999999995,,31.285,31.156666666666666,31.039999999999996,0.014387045542913058,0.011144157557765983,,0.7700000000000031,0.02491909385113279,0.7700000000000031,0.02491909385113279,,,30.9,31.67,30.9,31.67,,,1.0,1.0,,0,5,4,31.67,0.0,SAME,1.0
BPCL,2020-05-05,31.67,31.67,30.9,30.9,30.9,,0.0,0.7700000000000031,0.7700000000000031,0.0,0.02491909385113278,0.02491909385113278,0.0,0.02461367664684874,31.413333333333338,31.208,,31.4775,31.327777777777783,31.15454545454545,0.014387045542913058,0.011144157557765983,,0.7700000000000031,0.02491909385113279,0.7700000000000031,0.02491909385113279,,,30.9,31.67,30.9,31.67,,,1.0,1.0,,1,5,5,31.67,0.0,SAME,1.0
BPCL,2020-05-06,31.67,31.67,31.67,30.9,30.9,,0.0,0.0,0.7700000000000031,0.0,0.0,0.02491909385113278,0.0,0.0,31.67,31.362000000000002,31.131,31.57375,31.441851851851858,31.24826446280991,0.014387045542913058,0.011144157557765983,,0.7700000000000031,0.02491909385113279,0.7700000000000031,0.02491909385113279,,,31.67,31.67,30.9,31.67,30.9,31.67,,1.0,1.0,2,5,6,31.67,0.0,SAME,1.0
