Company,Date,Close,lag_1,lag_2,lag_3,lag_5,lag_10,diff_1,diff_2,diff_3,return_1,return_2,return_3,log_return_1,log_return_2,sma_3,sma_5,sma_10,ema_3,ema_5,ema_10,volatility_3,volatility_5,volatility_10,momentum_3,roc_3,momentum_5,roc_5,momentum_10,roc_10,roll_min_3,roll_max_3,roll_min_5,roll_max_5,roll_min_10,roll_max_10,range_position_3,range_position_5,range_position_10,day_of_week,month,day,future_close,future_diff,target,target_class
DFAL,2020-04-23,65.91,,,,,,,,,,,,,,,,,65.91,65.91,65.91,,,,,,,,,,,,,,,,,,,3,4,23,65.91,0.0,SAME,1.0
DFAL,2020-04-24,65.91,65.91,,,,,0.0,,,0.0,,,0.0,,,,,65.91,65.91,65.91,,,,,,,,,,,,,,,,,,,4,4,24,65.91,0.0,SAME,1.0
DFAL,2020-04-27,65.91,65.91,65.91,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,65.91,,,65.91,65.91,65.91,,,,,,,,,,65.91,65.91,,,,,,,,0,4,27,65.91,0.0,SAME,1.0
DFAL,2020-04-28,65.91,65.91,65.91,65.91,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,,,65.91,65.91,65.91,0.0,,,0.0,0.0,,,,,65.91,65.91,,,,,,,,1,4,28,65.91,0.0,SAME,1.0
DFAL,2020-04-29,65.91,65.91,65.91,65.91,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,,65.91,65.91,65.91,0.0,,,0.0,0.0,,,,,65.91,65.91,65.91,65.91,,,,,,2,4,29,65.91,0.0,SAME,1.0
DFAL,2020-04-30,65.91,65.91,65.91,65.91,65.91,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,,65.91,65.91,65.91,0.0,0.0,,0.0,0.0,0.0,0.0,,,65.91,65.91,65.91,65.91,,,,,,3,4,30,65.91,0.0,SAME,1.0
DFAL,2020-05-01,65.91,65.91,65.91,65.91,65.91,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,,65.91,65.91,65.91,0.0,0.0,,0.0,0.0,0.0,0.0,,,65.91,65.91,65.91,65.91,,,,,,4,5,1,65.91,0.0,SAME,1.0
DFAL,2020-05-04,65.91,65.91,65.91,65.91,65.91,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,,65.91,65.91,65.91,0.0,0.0,,0.0,0.0,0.0,0.0,,,65.91,65.91,65.91,65.91,,,,,,0,5,4,65.91,0.0,SAME,1.0
DFAL,2020-05-05,65.91,65.91,65.91,65.91,65.91,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,,65.91,65.91,65.91,0.0,0.0,,0.0,0.0,0.0,0.0,,,65.91,65.91,65.91,65.91,,,,,,1,5,5,65.91,0.0,SAME,1.0
DFAL,2020-05-06,65.91,65.91,65.91,65.91,65.91,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,,0.0,0.0,0.0,0.0,,,65.91,65.91,65.91,65.91,65.91,65.91,,,,2,5,6,65.91,0.0,SAME,1.0
DFAL,2020-05-07,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,,,,3,5,7,65.91,0.0,SAME,1.0
DFAL,2020-05-08,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,,,,4,5,8,65.91,0.0,SAME,1.0
DFAL,2020-05-11,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,,,,0,5,11,65.91,0.0,SAME,1.0
DFAL,2020-05-12,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,,,,1,5,12,65.91,0.0,SAME,1.0
DFAL,2020-05-13,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,,,,2,5,13,65.91,0.0,SAME,1.0
DFAL,2020-05-14,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,,,,3,5,14,65.91,0.0,SAME,1.0
DFAL,2020-05-15,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,,,,4,5,15,65.91,0.0,SAME,1.0
DFAL,2020-05-18,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,,,,0,5,18,65.91,0.0,SAME,1.0
DFAL,2020-05-19,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,,,,1,5,19,65.91,0.0,SAME,1.0
DFAL,2020-05-20,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,,,,2,5,20,65.91,0.0,SAME,1.0
DFAL,2020-05-21,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,,,,3,5,21,65.91,0.0,SAME,1.0
DFAL,2020-05-22,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,,,,4,5,22,65.91,0.0,SAME,1.0
DFAL,2020-05-25,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,65.91,65.91,65.91,65.91,65.91,,,,0,5,25,65.91,0.0,SAME,1.0
