Company,Date,Close,lag_1,lag_2,lag_3,lag_5,lag_10,diff_1,diff_2,diff_3,return_1,return_2,return_3,log_return_1,log_return_2,sma_3,sma_5,sma_10,ema_3,ema_5,ema_10,volatility_3,volatility_5,volatility_10,momentum_3,roc_3,momentum_5,roc_5,momentum_10,roc_10,roll_min_3,roll_max_3,roll_min_5,roll_max_5,roll_min_10,roll_max_10,range_position_3,range_position_5,range_position_10,day_of_week,month,day,future_close,future_diff,target,target_class
DPL,2020-04-23,15.7,,,,,,,,,,,,,,,,,15.7,15.7,15.7,,,,,,,,,,,,,,,,,,,3,4,23,16.49,0.7899999999999991,UP,2.0
DPL,2020-04-24,16.49,15.7,,,,,0.7899999999999991,,,0.050318471337579496,,,0.049093424217245045,,,,,16.095,15.963333333333333,15.843636363636362,,,,,,,,,,,,,,,,,,,4,4,24,16.55,0.060000000000002274,UP,2.0
DPL,2020-04-27,16.55,16.49,15.7,,,,0.060000000000002274,0.8500000000000014,,0.0036385688295939023,0.05414012738853513,,0.0036319652515645813,0.05272538946880963,16.246666666666666,,,16.322499999999998,16.15888888888889,15.972066115702477,,,,,,,,,,15.7,16.55,,,,,1.0,,,0,4,27,16.49,-0.060000000000002274,DOWN,0.0
DPL,2020-04-28,16.49,16.55,16.49,15.7,,,-0.060000000000002274,0.0,0.7899999999999991,-0.003625377643504679,0.0,0.050318471337579496,-0.003631965251564521,0.0,16.509999999999998,,,16.40625,16.269259259259258,16.066235912847482,0.02927375690333436,,,0.7899999999999991,0.050318471337579565,,,,,16.49,16.55,,,,,0.0,,,1,4,28,16.49,0.0,SAME,1.0
DPL,2020-04-29,16.49,16.49,16.55,16.49,,,0.0,-0.060000000000002274,0.0,0.0,-0.003625377643504679,0.0,0.0,-0.003631965251564521,16.51,16.344,,16.448124999999997,16.342839506172837,16.143283928693393,0.003631975232793611,,,0.0,0.0,,,,,16.49,16.55,15.7,16.55,,,0.0,0.9294117647058798,,2,4,29,16.85,0.360000000000003,UP,2.0
DPL,2020-04-30,16.85,16.49,16.49,16.55,15.7,,0.360000000000003,0.360000000000003,0.3000000000000007,0.021831412977562303,0.021831412977562303,0.01812688821752273,0.021596520226863338,0.021596520226863338,16.61,16.573999999999998,,16.6490625,16.511893004115226,16.27177775984005,0.013770754907773112,0.022323977039128397,,0.3000000000000007,0.018126888217522702,1.1500000000000021,0.07324840764331224,,,16.49,16.85,16.49,16.85,,,1.0,1.0,,3,4,30,16.4,-0.45000000000000284,DOWN,0.0
DPL,2020-05-01,16.4,16.85,16.49,16.49,16.49,,-0.45000000000000284,-0.08999999999999986,-0.08999999999999986,-0.02670623145400608,-0.00545785324439052,-0.00545785324439052,-0.02706932196821814,-0.005472801741354776,16.58,16.556,,16.52453125,16.474595336076817,16.295090894414585,0.024309587676597823,0.017403224221932783,,-0.08999999999999986,-0.005457853244390532,-0.08999999999999986,-0.005457853244390532,,,16.4,16.85,16.4,16.85,,,0.0,0.0,,4,5,1,16.0,-0.3999999999999986,DOWN,0.0
DPL,2020-05-04,16.0,16.4,16.85,16.49,16.55,,-0.3999999999999986,-0.8500000000000014,-0.48999999999999844,-0.024390243902438935,-0.05044510385756684,-0.029714978775015055,-0.02469261259037141,-0.05176193455858957,16.416666666666668,16.446,,16.262265624999998,16.31639689071788,16.241438004521022,0.027379153535847127,0.019884067383064828,,-0.48999999999999844,-0.02971497877501507,-0.5500000000000007,-0.03323262839879158,,,16.0,16.85,16.0,16.85,,,0.0,0.0,,0,5,4,16.0,0.0,SAME,1.0
DPL,2020-05-05,16.0,16.0,16.4,16.85,16.49,,0.0,-0.3999999999999986,-0.8500000000000014,0.0,-0.024390243902438935,-0.05044510385756684,0.0,-0.02469261259037141,16.13333333333333,16.348000000000003,,16.1311328125,16.21093126047859,16.197540185517198,0.014795667127205498,0.020083753468191023,,-0.8500000000000014,-0.05044510385756685,-0.48999999999999844,-0.02971497877501507,,,16.0,16.4,16.0,16.85,,,0.0,0.0,,1,5,5,15.65,-0.34999999999999964,DOWN,0.0
DPL,2020-05-06,15.65,16.0,16.0,16.4,16.49,,-0.34999999999999964,-0.34999999999999964,-0.7499999999999982,-0.021874999999999978,-0.021874999999999978,-0.0457317073170731,-0.02211780525361899,-0.02211780525361899,15.883333333333333,16.18,16.262,15.890566406249999,16.023954173652392,16.09798742451407,0.013414706323715615,0.02085768334253037,,-0.7499999999999982,-0.045731707317073066,-0.8399999999999981,-0.05093996361431159,,,15.65,16.0,15.65,16.85,15.65,16.85,0.0,0.0,0.0,2,5,6,15.65,0.0,SAME,1.0
