Company,Date,Close,lag_1,lag_2,lag_3,lag_5,lag_10,diff_1,diff_2,diff_3,return_1,return_2,return_3,log_return_1,log_return_2,sma_3,sma_5,sma_10,ema_3,ema_5,ema_10,volatility_3,volatility_5,volatility_10,momentum_3,roc_3,momentum_5,roc_5,momentum_10,roc_10,roll_min_3,roll_max_3,roll_min_5,roll_max_5,roll_min_10,roll_max_10,range_position_3,range_position_5,range_position_10,day_of_week,month,day,future_close,future_diff,target,target_class
DPNB,2020-04-23,75.0,,,,,,,,,,,,,,,,,75.0,75.0,75.0,,,,,,,,,,,,,,,,,,,3,4,23,75.0,0.0,SAME,1.0
DPNB,2020-04-24,75.0,75.0,,,,,0.0,,,0.0,,,0.0,,,,,75.0,75.0,75.0,,,,,,,,,,,,,,,,,,,4,4,24,75.0,0.0,SAME,1.0
DPNB,2020-04-27,75.0,75.0,75.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,75.0,,,75.0,75.0,75.0,,,,,,,,,,75.0,75.0,,,,,,,,0,4,27,75.0,0.0,SAME,1.0
DPNB,2020-04-28,75.0,75.0,75.0,75.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,,,75.0,75.0,75.0,0.0,,,0.0,0.0,,,,,75.0,75.0,,,,,,,,1,4,28,75.0,0.0,SAME,1.0
DPNB,2020-04-29,75.0,75.0,75.0,75.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,,75.0,75.0,75.0,0.0,,,0.0,0.0,,,,,75.0,75.0,75.0,75.0,,,,,,2,4,29,75.0,0.0,SAME,1.0
DPNB,2020-04-30,75.0,75.0,75.0,75.0,75.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,,75.0,75.0,75.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,75.0,75.0,75.0,75.0,,,,,,3,4,30,75.0,0.0,SAME,1.0
DPNB,2020-05-01,75.0,75.0,75.0,75.0,75.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,,75.0,75.0,75.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,75.0,75.0,75.0,75.0,,,,,,4,5,1,75.0,0.0,SAME,1.0
DPNB,2020-05-04,75.0,75.0,75.0,75.0,75.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,,75.0,75.0,75.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,75.0,75.0,75.0,75.0,,,,,,0,5,4,75.0,0.0,SAME,1.0
DPNB,2020-05-05,75.0,75.0,75.0,75.0,75.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,,75.0,75.0,75.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,75.0,75.0,75.0,75.0,,,,,,1,5,5,75.0,0.0,SAME,1.0
DPNB,2020-05-06,75.0,75.0,75.0,75.0,75.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,75.0,75.0,75.0,75.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,75.0,75.0,75.0,75.0,75.0,75.0,,,,2,5,6,75.0,0.0,SAME,1.0
DPNB,2020-05-07,75.0,75.0,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,75.0,75.0,75.0,75.0,,,,3,5,7,76.87,1.8700000000000045,UP,2.0
DPNB,2020-05-08,76.87,75.0,75.0,75.0,75.0,75.0,1.8700000000000045,1.8700000000000045,1.8700000000000045,0.024933333333333474,0.024933333333333474,0.024933333333333474,0.024627569824730314,0.024627569824730314,75.62333333333333,75.374,75.187,75.935,75.62333333333333,75.34,0.01439526671179475,0.011150525647799014,0.007884612299353203,1.8700000000000045,0.024933333333333394,1.8700000000000045,0.024933333333333394,1.8700000000000045,0.024933333333333394,75.0,76.87,75.0,76.87,75.0,76.87,1.0,1.0,1.0,4,5,8,76.87,0.0,SAME,1.0
DPNB,2020-05-11,76.87,76.87,75.0,75.0,75.0,75.0,0.0,1.8700000000000045,1.8700000000000045,0.0,0.024933333333333474,0.024933333333333474,0.0,0.024627569824730314,76.24666666666667,75.748,75.374,76.4025,76.03888888888889,75.61818181818182,0.01439526671179475,0.011150525647799014,0.007884612299353203,1.8700000000000045,0.024933333333333394,1.8700000000000045,0.024933333333333394,1.8700000000000045,0.024933333333333394,75.0,76.87,75.0,76.87,75.0,76.87,1.0,1.0,1.0,0,5,11,76.87,0.0,SAME,1.0
DPNB,2020-05-12,76.87,76.87,76.87,75.0,75.0,75.0,0.0,0.0,1.8700000000000045,0.0,0.0,0.024933333333333474,0.0,0.0,76.87,76.122,75.561,76.63625,76.31592592592594,75.84578512396695,0.01439526671179475,0.011150525647799014,0.007884612299353203,1.8700000000000045,0.024933333333333394,1.8700000000000045,0.024933333333333394,1.8700000000000045,0.024933333333333394,76.87,76.87,75.0,76.87,75.0,76.87,,1.0,1.0,1,5,12,76.87,0.0,SAME,1.0
DPNB,2020-05-13,76.87,76.87,76.87,76.87,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.87,76.49600000000001,75.748,76.75312500000001,76.50061728395063,76.03200601051842,0.0,0.011150525647799014,0.007884612299353203,0.0,0.0,1.8700000000000045,0.024933333333333394,1.8700000000000045,0.024933333333333394,76.87,76.87,75.0,76.87,75.0,76.87,,1.0,1.0,2,5,13,76.87,0.0,SAME,1.0
DPNB,2020-05-14,76.87,76.87,76.87,76.87,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.87,76.87,75.935,76.81156250000001,76.62374485596709,76.18436855406053,0.0,0.011150525647799014,0.007884612299353203,0.0,0.0,1.8700000000000045,0.024933333333333394,1.8700000000000045,0.024933333333333394,76.87,76.87,76.87,76.87,75.0,76.87,,,1.0,3,5,14,76.87,0.0,SAME,1.0
DPNB,2020-05-15,76.87,76.87,76.87,76.87,76.87,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.87,76.87,76.122,76.84078125,76.70582990397807,76.30902881695862,0.0,0.0,0.007884612299353203,0.0,0.0,0.0,0.0,1.8700000000000045,0.024933333333333394,76.87,76.87,76.87,76.87,75.0,76.87,,,1.0,4,5,15,76.87,0.0,SAME,1.0
DPNB,2020-05-18,76.87,76.87,76.87,76.87,76.87,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.87,76.87,76.309,76.85539062500001,76.76055326931872,76.4110235775116,0.0,0.0,0.007884612299353203,0.0,0.0,0.0,0.0,1.8700000000000045,0.024933333333333394,76.87,76.87,76.87,76.87,75.0,76.87,,,1.0,0,5,18,76.87,0.0,SAME,1.0
DPNB,2020-05-19,76.87,76.87,76.87,76.87,76.87,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.87,76.87,76.49600000000001,76.86269531250001,76.79703551287915,76.49447383614586,0.0,0.0,0.007884612299353203,0.0,0.0,0.0,0.0,1.8700000000000045,0.024933333333333394,76.87,76.87,76.87,76.87,75.0,76.87,,,1.0,1,5,19,76.87,0.0,SAME,1.0
DPNB,2020-05-20,76.87,76.87,76.87,76.87,76.87,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.87,76.87,76.683,76.86634765625001,76.8213570085861,76.56275132048297,0.0,0.0,0.007884612299353203,0.0,0.0,0.0,0.0,1.8700000000000045,0.024933333333333394,76.87,76.87,76.87,76.87,75.0,76.87,,,1.0,2,5,20,76.87,0.0,SAME,1.0
