Company,Date,Close,lag_1,lag_2,lag_3,lag_5,lag_10,diff_1,diff_2,diff_3,return_1,return_2,return_3,log_return_1,log_return_2,sma_3,sma_5,sma_10,ema_3,ema_5,ema_10,volatility_3,volatility_5,volatility_10,momentum_3,roc_3,momentum_5,roc_5,momentum_10,roc_10,roll_min_3,roll_max_3,roll_min_5,roll_max_5,roll_min_10,roll_max_10,range_position_3,range_position_5,range_position_10,day_of_week,month,day,future_close,future_diff,target,target_class
DWAL,2020-04-23,84.55,,,,,,,,,,,,,,,,,84.55,84.55,84.55,,,,,,,,,,,,,,,,,,,3,4,23,84.55,0.0,SAME,1.0
DWAL,2020-04-24,84.55,84.55,,,,,0.0,,,0.0,,,0.0,,,,,84.55,84.55,84.55,,,,,,,,,,,,,,,,,,,4,4,24,84.55,0.0,SAME,1.0
DWAL,2020-04-27,84.55,84.55,84.55,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,84.55,,,84.55,84.55,84.55,,,,,,,,,,84.55,84.55,,,,,,,,0,4,27,84.55,0.0,SAME,1.0
DWAL,2020-04-28,84.55,84.55,84.55,84.55,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.55,,,84.55,84.55,84.55,0.0,,,0.0,0.0,,,,,84.55,84.55,,,,,,,,1,4,28,84.55,0.0,SAME,1.0
DWAL,2020-04-29,84.55,84.55,84.55,84.55,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.55,84.55,,84.55,84.55,84.55,0.0,,,0.0,0.0,,,,,84.55,84.55,84.55,84.55,,,,,,2,4,29,84.55,0.0,SAME,1.0
DWAL,2020-04-30,84.55,84.55,84.55,84.55,84.55,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.55,84.55,,84.55,84.55,84.55,0.0,0.0,,0.0,0.0,0.0,0.0,,,84.55,84.55,84.55,84.55,,,,,,3,4,30,81.55,-3.0,DOWN,0.0
DWAL,2020-05-01,81.55,84.55,84.55,84.55,84.55,,-3.0,-3.0,-3.0,-0.03548196333530451,-0.03548196333530451,-0.03548196333530451,-0.03612674627756639,-0.03612674627756639,83.55,83.95,,83.05,83.55000000000001,84.00454545454545,0.02048552108301449,0.01586801639857921,,-3.0,-0.03548196333530455,-3.0,-0.03548196333530455,,,81.55,84.55,81.55,84.55,,,0.0,0.0,,4,5,1,81.55,0.0,SAME,1.0
DWAL,2020-05-04,81.55,81.55,84.55,84.55,84.55,,0.0,-3.0,-3.0,0.0,-0.03548196333530451,-0.03548196333530451,0.0,-0.03612674627756639,82.55,83.35,,82.3,82.88333333333335,83.55826446280992,0.02048552108301449,0.01586801639857921,,-3.0,-0.03548196333530455,-3.0,-0.03548196333530455,,,81.55,84.55,81.55,84.55,,,0.0,0.0,,0,5,4,81.55,0.0,SAME,1.0
DWAL,2020-05-05,81.55,81.55,81.55,84.55,84.55,,0.0,0.0,-3.0,0.0,0.0,-0.03548196333530451,0.0,0.0,81.55,82.75,,81.925,82.4388888888889,83.19312546957174,0.02048552108301449,0.01586801639857921,,-3.0,-0.03548196333530455,-3.0,-0.03548196333530455,,,81.55,81.55,81.55,84.55,,,,0.0,,1,5,5,81.55,0.0,SAME,1.0
DWAL,2020-05-06,81.55,81.55,81.55,81.55,84.55,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.55,82.15,83.35,81.7375,82.14259259259259,82.89437538419506,0.0,0.01586801639857921,,0.0,0.0,-3.0,-0.03548196333530455,,,81.55,81.55,81.55,84.55,81.55,84.55,,0.0,0.0,2,5,6,81.55,0.0,SAME,1.0
