Company,Date,Close,lag_1,lag_2,lag_3,lag_5,lag_10,diff_1,diff_2,diff_3,return_1,return_2,return_3,log_return_1,log_return_2,sma_3,sma_5,sma_10,ema_3,ema_5,ema_10,volatility_3,volatility_5,volatility_10,momentum_3,roc_3,momentum_5,roc_5,momentum_10,roc_10,roll_min_3,roll_max_3,roll_min_5,roll_max_5,roll_min_10,roll_max_10,range_position_3,range_position_5,range_position_10,day_of_week,month,day,future_close,future_diff,target,target_class
GICB,2020-04-23,40.8,,,,,,,,,,,,,,,,,40.8,40.8,40.8,,,,,,,,,,,,,,,,,,,3,4,23,40.8,0.0,SAME,1.0
GICB,2020-04-24,40.8,40.8,,,,,0.0,,,0.0,,,0.0,,,,,40.8,40.8,40.8,,,,,,,,,,,,,,,,,,,4,4,24,40.8,0.0,SAME,1.0
GICB,2020-04-27,40.8,40.8,40.8,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,40.8,,,40.8,40.8,40.8,,,,,,,,,,40.8,40.8,,,,,,,,0,4,27,40.8,0.0,SAME,1.0
GICB,2020-04-28,40.8,40.8,40.8,40.8,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8,,,40.8,40.8,40.8,0.0,,,0.0,0.0,,,,,40.8,40.8,,,,,,,,1,4,28,40.8,0.0,SAME,1.0
GICB,2020-04-29,40.8,40.8,40.8,40.8,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8,40.8,,40.8,40.8,40.8,0.0,,,0.0,0.0,,,,,40.8,40.8,40.8,40.8,,,,,,2,4,29,40.8,0.0,SAME,1.0
GICB,2020-04-30,40.8,40.8,40.8,40.8,40.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8,40.8,,40.8,40.8,40.8,0.0,0.0,,0.0,0.0,0.0,0.0,,,40.8,40.8,40.8,40.8,,,,,,3,4,30,40.8,0.0,SAME,1.0
GICB,2020-05-01,40.8,40.8,40.8,40.8,40.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8,40.8,,40.8,40.8,40.8,0.0,0.0,,0.0,0.0,0.0,0.0,,,40.8,40.8,40.8,40.8,,,,,,4,5,1,40.8,0.0,SAME,1.0
GICB,2020-05-04,40.8,40.8,40.8,40.8,40.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8,40.8,,40.8,40.8,40.8,0.0,0.0,,0.0,0.0,0.0,0.0,,,40.8,40.8,40.8,40.8,,,,,,0,5,4,40.8,0.0,SAME,1.0
GICB,2020-05-05,40.8,40.8,40.8,40.8,40.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8,40.8,,40.8,40.8,40.8,0.0,0.0,,0.0,0.0,0.0,0.0,,,40.8,40.8,40.8,40.8,,,,,,1,5,5,40.8,0.0,SAME,1.0
GICB,2020-05-06,40.8,40.8,40.8,40.8,40.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8,40.8,40.8,40.8,40.8,40.8,0.0,0.0,,0.0,0.0,0.0,0.0,,,40.8,40.8,40.8,40.8,40.8,40.8,,,,2,5,6,40.8,0.0,SAME,1.0
GICB,2020-05-07,40.8,40.8,40.8,40.8,40.8,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8,40.8,40.8,40.8,40.8,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8,40.8,40.8,40.8,40.8,40.8,,,,3,5,7,40.8,0.0,SAME,1.0
GICB,2020-05-08,40.8,40.8,40.8,40.8,40.8,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8,40.8,40.8,40.8,40.8,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8,40.8,40.8,40.8,40.8,40.8,,,,4,5,8,42.86,2.0600000000000023,UP,2.0
GICB,2020-05-11,42.86,40.8,40.8,40.8,40.8,40.8,2.0600000000000023,2.0600000000000023,2.0600000000000023,0.050490196078431415,0.050490196078431415,0.050490196078431415,0.04925690863531498,0.04925690863531498,41.486666666666665,41.212,41.006,41.83,41.486666666666665,41.17454545454545,0.02915052829731937,0.02257990212573319,0.015966401911634478,2.0600000000000023,0.05049019607843143,2.0600000000000023,0.05049019607843143,2.0600000000000023,0.05049019607843143,40.8,42.86,40.8,42.86,40.8,42.86,1.0,1.0,1.0,0,5,11,45.02,2.1600000000000037,UP,2.0
GICB,2020-05-12,45.02,42.86,40.8,40.8,40.8,40.8,2.1600000000000037,4.220000000000006,4.220000000000006,0.050396640223985045,0.10343137254901968,0.10343137254901968,0.0491678454331552,0.09842475406847023,42.89333333333334,42.056,41.428,43.425,42.66444444444445,41.87371900826446,0.029123558615555382,0.027629017798693655,0.0212688240075917,4.220000000000006,0.10343137254901977,4.220000000000006,0.10343137254901977,4.220000000000006,0.10343137254901977,40.8,45.02,40.8,45.02,40.8,45.02,1.0,1.0,1.0,1,5,12,45.02,0.0,SAME,1.0
GICB,2020-05-13,45.02,45.02,42.86,40.8,40.8,40.8,0.0,2.1600000000000037,4.220000000000006,0.0,0.050396640223985045,0.10343137254901968,0.0,0.0491678454331552,44.300000000000004,42.9,41.85,44.2225,43.44962962962964,42.44577009767092,0.02912355861555538,0.027629017798693655,0.0212688240075917,4.220000000000006,0.10343137254901977,4.220000000000006,0.10343137254901977,4.220000000000006,0.10343137254901977,42.86,45.02,40.8,45.02,40.8,45.02,1.0,1.0,1.0,2,5,13,45.02,0.0,SAME,1.0
GICB,2020-05-14,45.02,45.02,45.02,42.86,40.8,40.8,0.0,0.0,2.1600000000000037,0.0,0.0,0.050396640223985045,0.0,0.0,45.02,43.744,42.272000000000006,44.62125,43.9730864197531,42.913811898094394,0.029096513799570484,0.027629017798693655,0.0212688240075917,2.1600000000000037,0.050396640223985156,4.220000000000006,0.10343137254901977,4.220000000000006,0.10343137254901977,45.02,45.02,40.8,45.02,40.8,45.02,,1.0,1.0,3,5,14,45.02,0.0,SAME,1.0
GICB,2020-05-15,45.02,45.02,45.02,45.02,40.8,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.02,44.588,42.694,44.82062500000001,44.32205761316874,43.29675518934996,0.0,0.027629017798693655,0.0212688240075917,0.0,0.0,4.220000000000006,0.10343137254901977,4.220000000000006,0.10343137254901977,45.02,45.02,42.86,45.02,40.8,45.02,,1.0,1.0,4,5,15,45.02,0.0,SAME,1.0
GICB,2020-05-18,45.02,45.02,45.02,45.02,42.86,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.02,45.02,43.116,44.92031250000001,44.55470507544583,43.61007242764997,0.0,0.02253806267568616,0.0212688240075917,0.0,0.0,2.1600000000000037,0.050396640223985156,4.220000000000006,0.10343137254901977,45.02,45.02,45.02,45.02,40.8,45.02,,,1.0,0,5,18,45.02,0.0,SAME,1.0
GICB,2020-05-19,45.02,45.02,45.02,45.02,45.02,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.02,45.02,43.538,44.97015625,44.70980338363056,43.86642289534997,0.0,0.0,0.0212688240075917,0.0,0.0,0.0,0.0,4.220000000000006,0.10343137254901977,45.02,45.02,45.02,45.02,40.8,45.02,,,1.0,1,5,19,45.02,0.0,SAME,1.0
GICB,2020-05-20,45.02,45.02,45.02,45.02,45.02,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.02,45.02,43.96,44.995078125000006,44.81320225575371,44.07616418710452,0.0,0.0,0.0212688240075917,0.0,0.0,0.0,0.0,4.220000000000006,0.10343137254901977,45.02,45.02,45.02,45.02,40.8,45.02,,,1.0,2,5,20,45.02,0.0,SAME,1.0
