Company,Date,Close,lag_1,lag_2,lag_3,lag_5,lag_10,diff_1,diff_2,diff_3,return_1,return_2,return_3,log_return_1,log_return_2,sma_3,sma_5,sma_10,ema_3,ema_5,ema_10,volatility_3,volatility_5,volatility_10,momentum_3,roc_3,momentum_5,roc_5,momentum_10,roc_10,roll_min_3,roll_max_3,roll_min_5,roll_max_5,roll_min_10,roll_max_10,range_position_3,range_position_5,range_position_10,day_of_week,month,day,future_close,future_diff,target,target_class
RICB,2020-04-23,70.0,,,,,,,,,,,,,,,,,70.0,70.0,70.0,,,,,,,,,,,,,,,,,,,3,4,23,70.0,0.0,SAME,1.0
RICB,2020-04-24,70.0,70.0,,,,,0.0,,,0.0,,,0.0,,,,,70.0,70.0,70.0,,,,,,,,,,,,,,,,,,,4,4,24,70.0,0.0,SAME,1.0
RICB,2020-04-27,70.0,70.0,70.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,70.0,,,70.0,70.0,70.0,,,,,,,,,,70.0,70.0,,,,,,,,0,4,27,70.0,0.0,SAME,1.0
RICB,2020-04-28,70.0,70.0,70.0,70.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,,,70.0,70.0,70.0,0.0,,,0.0,0.0,,,,,70.0,70.0,,,,,,,,1,4,28,70.0,0.0,SAME,1.0
RICB,2020-04-29,70.0,70.0,70.0,70.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,,70.0,70.0,70.0,0.0,,,0.0,0.0,,,,,70.0,70.0,70.0,70.0,,,,,,2,4,29,70.0,0.0,SAME,1.0
RICB,2020-04-30,70.0,70.0,70.0,70.0,70.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,,70.0,70.0,70.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,70.0,70.0,70.0,70.0,,,,,,3,4,30,70.0,0.0,SAME,1.0
RICB,2020-05-01,70.0,70.0,70.0,70.0,70.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,,70.0,70.0,70.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,70.0,70.0,70.0,70.0,,,,,,4,5,1,70.0,0.0,SAME,1.0
RICB,2020-05-04,70.0,70.0,70.0,70.0,70.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,,70.0,70.0,70.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,70.0,70.0,70.0,70.0,,,,,,0,5,4,70.0,0.0,SAME,1.0
RICB,2020-05-05,70.0,70.0,70.0,70.0,70.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,,70.0,70.0,70.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,70.0,70.0,70.0,70.0,,,,,,1,5,5,70.0,0.0,SAME,1.0
RICB,2020-05-06,70.0,70.0,70.0,70.0,70.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,70.0,70.0,70.0,70.0,70.0,70.0,,,,2,5,6,70.0,0.0,SAME,1.0
