Company,Date,Close,lag_1,lag_2,lag_3,lag_5,lag_10,diff_1,diff_2,diff_3,return_1,return_2,return_3,log_return_1,log_return_2,sma_3,sma_5,sma_10,ema_3,ema_5,ema_10,volatility_3,volatility_5,volatility_10,momentum_3,roc_3,momentum_5,roc_5,momentum_10,roc_10,roll_min_3,roll_max_3,roll_min_5,roll_max_5,roll_min_10,roll_max_10,range_position_3,range_position_5,range_position_10,day_of_week,month,day,future_close,future_diff,target,target_class
STCB,2020-04-23,42.34,,,,,,,,,,,,,,,,,42.34,42.34,42.34,,,,,,,,,,,,,,,,,,,3,4,23,42.34,0.0,SAME,1.0
STCB,2020-04-24,42.34,42.34,,,,,0.0,,,0.0,,,0.0,,,,,42.34,42.34,42.34,,,,,,,,,,,,,,,,,,,4,4,24,42.34,0.0,SAME,1.0
STCB,2020-04-27,42.34,42.34,42.34,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,42.34,,,42.34,42.34,42.34,,,,,,,,,,42.34,42.34,,,,,,,,0,4,27,43.39,1.0499999999999972,UP,2.0
STCB,2020-04-28,43.39,42.34,42.34,42.34,,,1.0499999999999972,1.0499999999999972,1.0499999999999972,0.024799244213509652,0.024799244213509652,0.024799244213509652,0.024496734103540207,0.024496734103540207,42.69,,,42.865,42.690000000000005,42.53090909090909,0.014317850322369067,,,1.0499999999999972,0.024799244213509614,,,,,42.34,43.39,,,,,1.0,,,1,4,28,44.47,1.0799999999999983,UP,2.0
STCB,2020-04-29,44.47,43.39,42.34,42.34,,,1.0799999999999983,2.1299999999999955,2.1299999999999955,0.024890527771375792,0.05030703826169103,0.05030703826169103,0.024585804712345647,0.04908253881588594,43.4,42.976,,43.667500000000004,43.28333333333334,42.88347107438016,0.014344274229269196,,,2.1299999999999955,0.05030703826169096,,,,,42.34,44.47,42.34,44.47,,,1.0,1.0,,2,4,29,44.47,0.0,SAME,1.0
STCB,2020-04-30,44.47,44.47,43.39,42.34,42.34,,0.0,1.0799999999999983,2.1299999999999955,0.0,0.024890527771375792,0.05030703826169103,0.0,0.024585804712345647,44.10999999999999,43.402,,44.06875,43.67888888888889,43.171930879038314,0.014344274229269195,0.013608142767447552,,2.1299999999999955,0.05030703826169096,2.1299999999999955,0.05030703826169096,,,43.39,44.47,42.34,44.47,,,1.0,1.0,,3,4,30,46.71,2.240000000000002,UP,2.0
STCB,2020-05-01,46.71,44.47,44.47,43.39,42.34,,2.240000000000002,2.240000000000002,3.3200000000000003,0.05037103665392406,0.05037103665392406,0.07651532611200729,0.049143469991411635,0.049143469991411635,45.21666666666667,44.275999999999996,,45.389375,44.689259259259266,43.815216173758614,0.025186094176622584,0.021031815986734193,,3.3200000000000003,0.07651532611200738,4.369999999999997,0.10321209258384499,,,44.47,46.71,42.34,46.71,,,1.0,1.0,,4,5,1,47.87,1.1599999999999966,UP,2.0
STCB,2020-05-04,47.87,46.71,44.47,44.47,42.34,,1.1599999999999966,3.3999999999999986,3.3999999999999986,0.024834082637550825,0.07645603777827747,0.07645603777827747,0.024530728890400987,0.07367419888181256,46.35,45.382,,46.6296875,45.74950617283951,44.55244959671159,0.025186335628914692,0.017809878627827683,,3.3999999999999986,0.07645603777827746,5.529999999999994,0.13060935285781752,,,44.47,47.87,43.39,47.87,,,1.0,1.0,,0,5,4,47.87,0.0,SAME,1.0
STCB,2020-05-05,47.87,47.87,46.71,44.47,43.39,,0.0,1.1599999999999966,3.3999999999999986,0.0,0.024834082637550825,0.07645603777827747,0.0,0.024530728890400987,47.48333333333333,46.278,,47.24984375,46.45633744855967,45.15564057912766,0.025186335628914692,0.021033804069824965,,3.3999999999999986,0.07645603777827746,4.479999999999997,0.10324959668126289,,,46.71,47.87,44.47,47.87,,,1.0,1.0,,1,5,5,49.06,1.1900000000000048,UP,2.0
STCB,2020-05-06,49.06,47.87,47.87,46.71,44.47,,1.1900000000000048,1.1900000000000048,2.3500000000000014,0.024858993106329663,0.024858993106329663,0.050310426032969424,0.024555035425925603,0.024555035425925603,48.26666666666666,47.196000000000005,45.086,48.154921875,47.32422496570645,45.86552411019536,0.01434516073594567,0.021031982873163185,,2.3500000000000014,0.05031042603296942,4.590000000000003,0.10321565100067469,,,47.87,49.06,44.47,49.06,42.34,49.06,1.0,1.0,1.0,2,5,6,47.83,-1.230000000000004,DOWN,0.0
