company,announcement_date,title,sentiment_label,sentiment_score,sentiment_confidence,event_importance_score
BBPL,,BBPL declares bonus shares in the ratio of 1:2,neutral,0.0,0.9514,0.9514
BBPL,,BBPL - 39th AGM,neutral,0.0,0.956,0.956
BBPL,,"BBPL-AGM-21st April, 2023",neutral,0.0,0.9442,0.9442
BBPL,,"BBPL - 38th AGM on 28th March, 2023",neutral,0.0,0.9531,0.9531
BBPL,,"BBPL - 36th AGM on 27th April, 2022",neutral,0.0,0.9468,0.9468
BCCL,,BCCL 37th AGM on 21 April 2026 at conference hall of Hotel Druk,neutral,0.0,0.9536,0.9536
BCCL,,BCCL - 35th AGM,neutral,0.0,0.9545,0.9545
BCCL,,BCCL Declares 110% Dividend,neutral,0.0,0.9377,0.9377
BCCL,,"BCCL - 34th AGM on 28th March, 2023",neutral,0.0,0.9489,0.9489
BCCL,,"BCCL - 33rd AGM on 16th May, 2022",neutral,0.0,0.9525,0.9525
BCCL,,"EBCCL - Final AGM on 7th August, 2020",neutral,0.0,0.9449,0.9449
BFAL,,BFAL declares 55% dividend,neutral,0.0,0.9484,0.9484
BFAL,,BFAL declares 100% Dividend,neutral,0.0,0.9526,0.9526
BFAL,,BFAL - 32nd AGM,neutral,0.0,0.9548,0.9548
BFAL,,BFAL Declared Dividend of 350%,neutral,0.0,0.9413,0.9413
BFAL,,BFAL declared Dividend for the year 2022,neutral,0.0,0.9481,0.9481
BFAL,,"BFAL - 31st AGM on 8th March, 2023",neutral,0.0,0.9507,0.9507
BIL,,BIL 17th AGM on 2nd April 2026 at Conference Hall of BIL,neutral,0.0,0.9506,0.9506
BIL,,BIL declares 18.5% dividend,neutral,0.0,0.9413,0.9413
BIL,,BIL declares 21% Dividend,neutral,0.0,0.9525,0.9525
BIL,,BIL - 15th AGM,neutral,0.0,0.9561,0.9561
BIL,,BIL declares Dividend and Bonus,neutral,0.0,0.9447,0.9447
BIL,,"BIL - 14th AGM on 24th March, 2023",neutral,0.0,0.953,0.953
BIL,,"BIL - 13th AGM on 29th April, 2022",neutral,0.0,0.9517,0.9517
BNBL,2026-05-15,"BNBL Declares 9.27% Dividend for FY2025; Ex-Date 21 May, Record Date 22 May",neutral,0.0,0.9441,0.9441
BNBL,,"BNBL 30th AGM on 27 April 2026 at Conference Hall, Corporate Office",neutral,0.0,0.9489,0.9489
BNBL,,BNBL Dividend and Bonus Issue,neutral,0.0,0.9453,0.9453
BNBL,,"BNBL - 27th AGM on 15th March, 2023",neutral,0.0,0.9525,0.9525
BNBL,,"BNBL - 26th AGM on 29th April, 2022",neutral,0.0,0.9504,0.9504
BPCL,,BPCL 28th AGM on 27 April 2026 at Hotel Phuntsho Pelri,neutral,0.0,0.9487,0.9487
BPCL,,BPCL - 26th AGM,neutral,0.0,0.9533,0.9533
BPCL,,"BPCL - 24th AGM on 14th May, 2022",neutral,0.0,0.9512,0.9512
BTCL,2025-05-05,BTCL declares 25% dividend,neutral,0.0,0.9503,0.9503
BTCL,,"BTCL Declares 25% Dividend for FY2025; Ex-Date 16 April 2026, Record Date 17 April 2026",neutral,0.0,0.9498,0.9498
BTCL,,"BTCL - AGM on 7th April, 2023",neutral,0.0,0.9503,0.9503
DFAL,,"DFAL Declares 10% Dividend for FY2025; Ex-Date 12 March 2026, Record Date 13 March 2026",neutral,0.0,0.9512,0.9512
DFAL,,DFAL Shareholders Approve 10% Dividend for FY2025,neutral,0.0,0.9488,0.9488
DFAL,,DFAL declares 25% dividend,neutral,0.0,0.9471,0.9471
DFAL,,DFAL - 19th AGM,neutral,0.0,0.956,0.956
DFAL,,DFAL Dividend,neutral,0.0,0.9475,0.9475
DFAL,,"DFAL - 18th AGM on 28th April, 2023",neutral,0.0,0.9452,0.9452
DFAL,,"DFAL - 17th AGM on 27th April, 2022",neutral,0.0,0.9498,0.9498
DFAL,,DFAL Declared Dividend - 30%,neutral,0.0,0.9202,0.9202
DFAL,,DFAL Declared Dividend of 6.5%,neutral,0.0,0.9425,0.9425
DFAL,,"DFAL - 16th AGM on 30th June, 2021",neutral,0.0,0.9531,0.9531
DFAL,,DFAL - AGM Deferred,neutral,0.0,0.921,0.921
DPL,,DPL-13th AGM,neutral,0.0,0.9556,0.9556
DPL,,"DPL - 12th AGM on 27th March, 2023",neutral,0.0,0.9511,0.9511
DPL,,"DPL - 11th AGM on 16th April, 2022",neutral,0.0,0.9514,0.9514
DPNB,2026-05-15,"DPNB Declares 5% Dividend and bonus share in ratio of 1:6 for FY2025; Ex-Date 21 May, Record Date 22 May",neutral,0.0,0.9439,0.9439
DPNB,2026-05-15,DPNB Declares 5% Dividend and Bonus share of 1:6 for FY2025; Ex-Date and Record Date will be announced shortly,neutral,0.0,0.9458,0.9458
DPNB,,"DPNB Approves 5% Dividend & 1:6 Bonus Shares for FY2025, Subject to RMA Approval",neutral,0.0,0.9435,0.9435
DPNB,,DPNB Dividend & Bonus Share Proposal (FY2025),neutral,0.0,0.9486,0.9486
